,date,dateYear,dateMonth,dateDay,rating,userName,content
52,20230829,2023,8,29,5,CHANYEOL,웬만한 명품 검색하면 대부분 있어요. 여러 곳 발품 파는 것 보다 발란 하나에서 보는게 편하구 좋네요!! 잘 찾으면 진짜 저렴한 제품들 많구요
53,20230829,2023,8,29,5,해피타임,검수 동영상 정성 대박 무엇… 영상까지 찍어주다니 ㅋㅋㅋ 넘 좋아요…. 계속 쓸게요!!
54,20230829,2023,8,29,5,오재호,"여성, 남성, 골프 등등 자세하게 카테고리 나누어져 있어서 편한데 골프 안에서도 또 여성, 남성, 용품 등등 나누어지니 골프 용품 사기에 정말 좋습니다!!"
55,20230829,2023,8,29,5,잠꼬대,명품 커머스중에서는 제일 최적화 잘 되어 있는 거 같아요. 다른 앱 쓰다가 빡쳐서 발란 쓰게 되네요 ㅠ
56,20230829,2023,8,29,5,슈퍼파월,발란을 설치하고부터는 명품 쇼핑의 질이 달라졌네요. 어디서든 앱만 키면 되니까 진짜 편리 ㅋㅋ
57,20230829,2023,8,29,5,김준우,직관성 있는 디자인 좋습니다. 앱으로 명품 쇼핑 쉽게 가능하니까 너무 좋네요. 집순이 친화적인 앱 ㅋㅋㅋ
58,20230829,2023,8,29,4,씨이이잉(씨이이잉),실물 사진이 부족한듣 합니다
59,20230828,2023,8,28,5,Google 사용자,구우웃
60,20230827,2023,8,27,5,박기진,핏도 이쁘고 고급스럽게 너무 이쁘네요. 맘에 듭니다.
61,20230824,2023,8,24,5,주나윤,"제가 선호하는 브랜드들의 제품들이 다양하게 구비되어 있고, 재고도 있어서 좋아요. 검색 필터 기능도 유용하고 한눈에 보기가 좋네요"
62,20230824,2023,8,24,5,채다연,신상들도 수시로 업데이트 되니 트렌드 맞게 구매하기가 좋아요
63,20230824,2023,8,24,5,러브로즈,요즘 인스타보다도 발란을 자주 보고 있어요 ㅋㅋㅋㅋ 제 취향 맞춰서 추천해주니까 보는 재미가 쏠쏠 ㅠㅠ
64,20230823,2023,8,23,5,인생개척,다양한 상품들 좋은 가격으로 핸드폰으로 바로 바로 살 수 있다니…. 번창하세요 ㅋㅋㅋ
65,20230823,2023,8,23,5,astronaut,꼭 명품 아니더라도 나이키 이런 인기 브랜드 제품들도 저렴하게 올라와서 좋네요~!
66,20230823,2023,8,23,5,기기기,좋아요~
67,20230823,2023,8,23,5,강시아,"낚시가 없어서 좋아요.. 첨부터 상품 가격에 관세랑 부가세, 배송비 포함이라서 ㅋㅋㅋㅋ"
68,20230822,2023,8,22,4,박연주,역시 가격좋고 배송빨라요
69,20230818,2023,8,18,2,김소영,앱에서 카카오로 로그인이 안되요
70,20230818,2023,8,18,5,김종인,좋아요
71,20230817,2023,8,17,5,김미옥,그냥싸서 좋은것같네요
72,20230816,2023,8,16,5,한기애,상품이 참 다양하고 개인쇼핑 스타일에 맞춰서 연관 상품도 자동으로 추천되고 리뷰도 다양해서 큰 도움이 됩니다.. 매월 행사도 잘 정리되어 있어요..
73,20230816,2023,8,16,5,노바우,같은 상품이라도 업체마다 가격이 달라서 가격비교하면서 사고 있습니다 정품보장되는 것도 마음에 들고요 간혹 브랜드 더스트백없이 오기도 하는데 이점은 아쉬워요 앞으로 점점 좋아질거라고 믿습니다
74,20230816,2023,8,16,5,[Real love],최저가로 명품을 구매 가능하네요!! 정품 걱정은 안해도 됩니다~~
75,20230814,2023,8,14,4,김은경,가격대가 너무 달라서 혼돈 스럽고 50만원 쿠폰의 의미를 10%할인으로 바꾸는게 정상일 듯
76,20230814,2023,8,14,5,신인영,정품 백퍼센트보장으로 믿고 구매하고 있습니다!! 친구들한테도 발란 추천하는 편입니다~~
77,20230814,2023,8,14,5,Hey smart,저의 최애 앱은 발란입니다.... 우연한 기회에 접하게 돼서 소소하게 지르고 이써요ㅎㅎ앞으로 더 많은 혜택이 있기를 바래요ㅎㅎ
78,20230813,2023,8,13,5,블루메,정품 명품은 무조건~ 발란!!! 몇년전 직구해보고 배송 한달 넘게 걸렸던 기억이 있는데 발란은 다음날 오는 제품도 있고 예상기간보다 더 빨리 오는 경우도 있어서 안심하고 이용하고 있습니다!!
79,20230812,2023,8,12,5,윤정희,오리진 명품을 좋은 가격으로 구매할수있어 너무 좋아요
80,20230811,2023,8,11,5,박경희,너무 싸게 구매한것 같아요
81,20230811,2023,8,11,5,김영우,굿입니다 잘신을께요
82,20230810,2023,8,10,5,수잔쌤,B최저가 메뉴 최고네요 좋은 가격으로 아이템을 구할 수 있어요 명품쇼핑앱이 여러 개 있지만 가장 손이 많이 가는 앱이에요
83,20230810,2023,8,10,5,여름빛새,연관상품을 볼수 있는 기능이 잘되 있어요!! 정품 직구 쉽고 편하게 방구석에서 가능함 딱히 불편한 점은 못 느꼈어요.
84,20230810,2023,8,10,5,김현정,원래 가지고 있던걸 버리게 돼서 사게 됐어요.변색도 거의없어서 애정하던건데 ㅎ
85,20230810,2023,8,10,5,Marco Woo,지금까진 만족이에요.
86,20230810,2023,8,10,5,KSY,"리퍼 세일, 발란 픽업 등 서비스 잘 살펴보세요 최저가보다도 싸게 나오는 템들이 있습니다. 오랫동안 이용해오면서 불만도 있지만 그래도 명품살때는 발란을 이용하게 되네요."
87,20230810,2023,8,10,5,도인성,"명품살때는 무조건 발란을 사용하는 1인입니다:) 명품이 아니라 나이키, 어그 등 구입할 때도 유용한 앱이예요. 메뉴가 다양한게 보기 쉽게 잘 구성한 것 같아요~ 네이버페이 카카오페이 돼서 조아요 뭣보다 정품이니까요"
88,20230809,2023,8,9,5,박예응,좋아요 이것저것 쿠폰쓰면 살만 합니다
89,20230809,2023,8,9,5,신사동그사람,지인이 발란서 구매한다고 해서 이용해 보고 있습니다. 판매자마다 포장 상태가 다르지만 대체적으로 잘 오는 편입니다. 리뷰쓰고 받은 포인트도 모으면 꽤돼서 포인트로 작은 악세서리도 주문하고 있습니다. 전반적으로 잘 이용하고 있습니다.
90,20230809,2023,8,9,5,박창환,"가장 많이 사용하는 쇼핑 어플입니다~ 어른, 아이 다양하게 상품이 구비되어 있어요. ㅋ ㅋ올 겨울 가족패딩은 전부 발란에서 샀습니다~정품등록도 완료~~"
91,20230809,2023,8,9,5,벼락부자가꿈,남친 생선으로 구찌 카드지갑을 주문했고 하루만인 오늘 받았어요 배송 정말 빠르고 매장에서 본것도 동일한 상품으로 하자없는 상품을 받았어요 너무 좋아서 앱리뷰도 남겨요 어그도 주문해놨는데 빨리 받고 싶어요!
92,20230809,2023,8,9,5,달달달님,어그 코케트 산다고 둘러보다가 가입했네요!! 가입 쿠폰해서 어그말고 여러가지로 샀어요 ㅎㅎ 걱정했는데 정품으로 맞게 잘 온 것 가타요 굿굿
93,20230808,2023,8,8,5,드티,빠른배송 믿을수있는 상품
94,20230808,2023,8,8,5,권요한,"검수하는 영상, 가격, 배송, 퀄리티 등등 모두부분이 괜찮습니다. 배송이 안 와서 cs문의햇었는데 배송기간은 오버됐지만 잘 응대해주셨습니다."
95,20230808,2023,8,8,5,하수연,"너무너무 좋아요! 매장에서 신어보고 사이즈가 품절이라 그냥 돌아왔는데, 발란에서 사이즈와 디자인 원하는 것으로 게 또했어용"
96,20230807,2023,8,7,5,메이저인생,잠들기 전에 아이쇼핑하기 좋아요ㅋㅋ매일 보고 있다가 가격 떨어지면 바로 사고 있어여ㅋㅋ
97,20230807,2023,8,7,5,러블랴,2번 사용해보니까 대만족! 정품 걱정없이 살 수 있음!!
98,20230806,2023,8,6,3,이은태,좋아요
99,20230806,2023,8,6,5,홍동한,"별다섯개인걸 친구가 알려줘서 가입하게 되었는데, 가격도 좋았고 물건도 잘 받았습니다ㅎㅎ 선물포장도 해주었는데 이건 판매자마자 다른가봐요?? 저는잘 골라서 산 듯합니다. 검수도 잘된 것 같아 다행이에요!!"
100,20230806,2023,8,6,5,현새봄,판매자별로 가격비교와 리뷰를 볼 수 있어서 판매자 초이스하는데 많은 도움이 되고 있어요 정품 구매 걱정없이 명품 저렴하게 살 수 있어서 좋아요 매장갈 수 없는 상황에 이용하기 너무 좋아요
101,20230805,2023,8,5,5,오은아,배송빠르고 물건 정확하고 만족 합니다. 자주 애용할게요
102,20230804,2023,8,4,4,신승용,좀더 저렴하면 좋겠네요
103,20230804,2023,8,4,3,김재용,굿
104,20230802,2023,8,2,5,젊은고수,가격이 너무 착해서 다~~ 담아두다보니 장바구니 터질거같아요 우선 담아두고 하나하나 덜어내려고햇는데 결국 다 지를것같네요ㅋ 가격이 넘 착해요
105,20230802,2023,8,2,5,삐삐츄,판매자가 정말 많아요 같은 물건인데도 판매자마다 다른 가격을 제시하는데 비교해서 사기가 좋음 B최저가만 봐도 최저가 확인은 가능함 후기도 보고 사진도 잘 째려보고 사고 있음 지금까지는 실패없었어요!!
106,20230802,2023,8,2,5,장규선,구찌 카드지갑 포장 완벽하게 잘 받았음. 발란 더스트백에 한번 더 담아져서 깔끔했음. 쇼핑백도 주면 좋겠는데 이건 주문상품마다 다른거 같음.
107,20230801,2023,8,1,5,백미자,저렴하게 구입하는 정보
108,20230801,2023,8,1,5,핫태,가격도 착해요
109,20230731,2023,7,31,5,송재혁,저렴한 가격에 너무 잘 구매했어요. 앞으로도 계속 이용하고 싶어요. 물건 좋은거 마니 올려주세요~~
110,20230730,2023,7,30,5,조윤경,"적립금 소멸된다길래 이벤트,쿠폰 등등 혜택 다 끌어모아서 또 하나 영입했어요^_^ 역시 빠르고 정확하네요. 감사합니당 적립금 마니마니!!!!"
111,20230730,2023,7,30,5,도수정,배송이 생각보다 걸리긴했는데..사전고시해주셔서 괜찮아요. 제품이 안전하게 잘 올수 있는게 중요하죠. 백화점보다 훨씬 저렴하게 좋은 가격에 샀어요!!
112,20230728,2023,7,28,1,Ryanghyun Kim,정품여부를 떠나서 중고파는것 같아요. 제품퀄리티 너무 낮아요
113,20230727,2023,7,27,5,나영필,해외배송 아닌거 같음ㅋㅋㅋㅋ 진짜 빠르고 좋아요.
114,20230727,2023,7,27,5,황현호,타 사이트에서 갈아탔습니다!! 우선 여태까지의 발란구매건은 대체적으로 만족스러워요. 정착할수있길....
115,20230727,2023,7,27,5,Jueun,핫딜정보공유로 자주 구매해요. 어디가서 이 가격에 샀다고하면 다들 놀래요. 보증서랑 큐알다 받았고 정품 보증해주니까 저는 늘 믿고이용합니다!!
