USER,DATE,STAR,LIKE,TITLE,REVIEW
Hyungmin Sumin,2023-06-03 20:13:50-07:00,5,1,예쁜 아이템 많아요!,예쁜 아이템 많아서 너무 좋아요! 백화점 가도 못 사는 아이템들 많더라구요!! 이번에도 하나 질렀어요
Yeji Sujin,2023-06-03 20:13:48-07:00,5,1,발란은 내친구,요새 발란만 해요 ㅋㅋㅋ 발란에서 옷사고 구경하고 반복이네요
Seoyun Chang 79,2023-06-02 19:51:24-07:00,5,1,효도했어요ㅎ,제품 상자나 구성품 빠짐없이 잘왔네요. 엄마한텐 백화점에서 샀다고 했어요. 너무너무 좋아하시는 모습에 제가 기분이 다 좋네요. 착한 가격에 좋은 제품 감사합니다.
Younghwa Junghun,2023-06-02 19:51:22-07:00,5,1,no more 구매대행,저 이제 구매대행 안할래요.. 가격도 훨 좋고 배송도 빠른데 구매대행 할 이유가 없잖아요??최근에 구매대행하다가 배송문제로 너무 화났었는데 배송과정 다보여서 속이 다 시원하네요. 자주 애용할게요^.^
Hyoil Areum 80,2023-06-02 19:51:21-07:00,5,1,나만 알고싶은 브랜드,매장이나 백화점보다 저렴한 경우가 많고 잘~ 둘러보면 더 좋은 제품들도 건질 수 있어요. 얼마전에 친구들 만나러갔는데 어디가도 품절인데 어디서구했냐며ㅎㅎ 알려주면 유명해질까봐 말해주기싫었어요 하하하 저는 주로 옷을 구매하는데 확실히 타 사이트보다 다양하네요.
사용자 99,2023-06-02 19:51:19-07:00,5,1,아싸라비야,진짜 사고싶은게 있었는데 ... 발란에서 딱 발견 ! 검색하기 쉽고 가격도 저렴하고 좋아요 !!
Skwon Jongsoo 85,2023-06-02 19:51:18-07:00,5,1,짹짹,"방앗간=발란, 참새=나 진짜 맨날맨날 들어와요....짹짹... 지금은 쿠폰 영끌해서 사지만... 로또가 당첨되면 다 사버릴거예요!!! 가격 너무 착하고 제품 다양하고 배송 빠르고 뭐 하나 맘에 안드는게 업숴요!"
Eunmi Yunyoung,2023-06-02 19:51:16-07:00,5,1,스마트컨슈머가 된 느낌,"토트백 가격비교하다가 가입쿠폰 적용하면 말도 안되는 가격이 나오길래 바로 앱 깔았어요. 온오프 최저가로 구매했어요. 스마트컨슈머가 된 기분ㅎ 배송은 일주일 안걸렸어요. 앱은 조금 더 보완되어야할거같긴하지만 저는 지금도 충분해요! 쿠폰 적용부터 구매, 배송까지 다 만족스러웠어요^0^"
Chang Baek 91,2023-06-02 19:51:14-07:00,5,1,발란발란,딜이나 기획전 보고 요즘 유행하는게 뭔가 구경해요. 전체적으로 구성이 좋아서 구경하기좋은거같아요. 보다가 저렴한거 있으면 바로 겟겟!! 행사 프로모션도 다양해서 예쁜애기들 보면 늘 심장이 발란발란해요... 기획전 잘 보고있습니다. 다양한 딜 부탁드려요~
Hong Yunyoung 80,2023-06-02 19:51:13-07:00,5,1,로켓배송,친구가 추천해줬어요. 이태리에서 오는데 이렇게 빨리오다니 감동입니다. 발란파우치도 여러모로 쓸모있네여ㅎ 제품 상태는 당연 좋구요!
