USER,DATE,STAR,LIKE,TITLE,REVIEW
옥예삐,2021-07-22 00:04:44-07:00,5,0,너무 쉽고 편해용,"너무쉽고 편해요^^
명품 좋아해서 다운받았는데 한눈에 쏙쏙 들어와서 쇼핑하기 정말 편리해요 어플도 가벼워서 속도도 빠르고 카테고리 세분화도 잘되어있어서 좋으네욤"
김밍디,2021-07-21 22:53:03-07:00,5,0,명품에 관심이,"명품에 관심이 생기고 있는데, 사실 어떤 게 예쁜지 잘 몰랐거든요. 어떤게 유행인지 보여주는 것 같아 쇼핑이 편해짐. 실시간으로 최저가 비교하는것도 넘 맘에 듦"
어ㅓ어어어,2021-07-18 19:36:46-07:00,5,0,이제야 알았다니,"평소 쇼핑을 좋아하는데
이걸 이제 알았네요
정리가 잘되어 있고 이벤트가 많아
핵이득 쇼핑하기 좋아요"
aspo89,2021-07-18 19:34:58-07:00,5,0,간편해요,"간편하게 둘러보면서
쇼핑할 수 있어 좋더라구요!!
카테고리별로 세분화되어 있는점도
좋았습니다 :)"
민둥둥쓰,2021-07-15 19:11:54-07:00,5,0,한눈에 보여서 편해요!!,"남편 생일 선물 알아보고 있었는데 어플에서 한눈에 보고 고를 수 있으니 너무 편하네요!!! 
이런 어플 너무 감사합니다"
아직 기능을 다써보진 않았지만 괜찮은것같아요,2021-07-14 01:08:14-07:00,1,2,별 한개도 아까움,"생일선물 구매했는데 보름동안 현지주문확인만 뜨고 어떠한 안내도 없음
전화해서 문의해도 구매 대항이고 환불도 안된답니다 예상 수령일에 최대한 맞추도록 노력하겠다는 말 뿐이네요
한두달정도 걸려도 상관없는 시간적 여유 있으신분은 괜찮겠네요"
2똘,2021-07-12 05:23:55-07:00,5,0,보기편하고 좋네요 ㅎ,브랜드별로 구분되어있어서 내가 원하는 브랜드로 쉽게 찾을수있어 좋고 실시간으로 세일정보를 확인가능하니까 계속 기다려지네요 ㅋㅋ 최저가비교되는것도 좋아요
ukukk92,2021-07-11 19:19:46-07:00,5,8,상품별 비교부터 구매까지 너무 편해요👍,전세계 쇼핑몰을 전부 비교해볼 수 있다고 해서 다운받아봤는데 실제로 어플 이용해보니까 생각보다도 더 실용적이고 완전 대만족이에요!! 카테고리별로 정리도 잘 되어있어서 찾기도 편하고 구매까지 간편하게 하고 있습니다 :) 할인정보나 최저가 상품 찾기도 좋아서 앞으로도 유용하게 쓸 것 같네요👍👍
도메리카노,2021-07-11 19:11:18-07:00,5,4,트렌디한 쇼퍼들을 위한 앱이네요!,다른곳은 가격 형성도 애매하게 해서 좀 그랬는데 여긴 가격도 확실하고 특히 항목별로 깔끔하게 되어있어서 사용하기가 되게 편리하네요👍 앱 액세스 할 때도 버벅거리지도 않고 여러모로 편리하게 사용합니다. 업데이트 자주 해주시면 좋을 것 같아요👍👍☺️
쥬쥬a,2021-07-11 18:12:19-07:00,5,0,해외브랜드 쇼핑이 편함,해외브랜드 여러가지를 간단하게 이 어플 하나로 볼 수 있고 저렴하게 쇼핑할 수 있어서 좋네요~
